20,20
14,3,10,8
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1
1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
